;word
3362;общая площадь земельных участков с разрешенным использованием, предполагающим жилищное строительство, в отношении которых по состоянию на конец отчетного периода отсутствуют действующие разрешения на строительство, а также в отношении которых не направлялись уведомления о соответствии указанных в уведомлении о планируемом строительстве объекта индивидуального жилищного строительства параметров объекта индивидуального жилищного строительства установленным параметрам и допустимости размещения объекта индивидуального жилищного строительства на земельном участке
3363;общая площадь земельных участков, в отношении которых за отчетный период получены разрешения на ввод в эксплуатацию объектов жилищного строительства и (или) получены уведомления о соответствии построенного объекта индивидуального жилищного строительства требованиям законодательства о градостроительной деятельности
3364;площадь земельных участков, вовлеченных в оборот в целях жилищного строительства
3365;количество реализованных мероприятий по благоустройству, предусмотренных государственными (муниципальными) программами формирования современной городской среды (количество обустроенных общественных пространств)
3366;количество реализованных проектов победителей всероссийского конкурса лучших проектов создания комфортной городской среды в малых городах и исторических поселениях
3367;соотношение темпа роста внутренних затрат на исследования и разработки за счет всех источников к темпу роста валового внутреннего продукта
3368;внутренние затраты на исследования и разработки за счет всех источников (в текущих ценах)
3369;внутренние затраты на развитие цифровой экономики за счет всех источников
3370;внутренние затраты на развитие цифровой экономики за счет всех источников (по доле в валовом внутреннем продукте страны)
3371;общее число домохозяйств (по данным обследования икт)
3372;число домохозяйств, имеющих широкополосный доступ к сети «интернет»
3373;доля домашних хозяйств, имеющих широкополосный доступ к информационно-телекоммуникационной сети «интернет»
3374;доля социально значимых объектов инфраструктуры, имеющих возможность подключения к широкополосному доступу к информационно-телекоммуникационной сети «интернет»
3375;количество опорных центров обработки данных в федеральных округах
3376;число федеральных округов российской федерации, на территории которых введены в промышленную эксплуатацию 1 или более опорных центра обработки данных
3377;доля российской федерации в мировом объеме оказания услуг по хранению и обработке данных
3378;объем выручки от предоставления всех услуг коммерческих центров обработки данных, расположенных на территории российской федерации, за отчетный год
3379;объем мирового рынка центров обработки данных по состоянию на отчетный год
3380;стоимостная доля закупаемого и (или) арендуемого федеральными органами исполнительной власти, органами исполнительной власти субъектов российской федерации и иными органами государственной власти отечественного программного обеспечения
3381;затраты государственных корпораций, государственных компаний на приобретение программного обеспечения
3382;затраты государственных корпораций, государственных компаний на приобретение российского программного обеспечения
3383;стоимостная доля закупаемого и (или) арендуемого государственными корпорациями, компаниями с государственным участием отечественного программного обеспечения
3384;средний срок простоя государственных информационных систем в результате компьютерных атак
3385;суммарное время простоя государственных информационных систем в результате компьютерных атак (направленных на несанкционированный доступ к объекту атаки и (или) блокировки доступности объекта атаки) за отчетный год
3386;число случаев простоя государственных информационных систем в результате компьютерных атак (несанкционированный доступ к объекту атаки, блокировка его доступности) за отчетный год
3387;вновь созданные юридические лица
3388;индивидуальные предприниматели, сведения о которых внесены в единый реестр субъектов малого и среднего предпринимательства
3389;количество плательщиков налога на профессиональный доход
3390;сумма среднесписочной численности работников индивидуальных предпринимателей
3391;сумма среднесписочной численности работников юридических лиц
3392;численность занятых в сфере малого и среднего предпринимательства, включая индивидуальных предпринимателей
3393;валовая добавленная стоимость, созданная субъектами малого и среднего предпринимательства 
3394;доля малого и среднего предпринимательства в валовом внутреннем продукте
3395;стоимость экспортируемых рыбы, рыбопродуктов и морепродуктов вне зоны действия таможенного контроля российской федерации с 2018 г.
3396;коэффициенты рождаемости в возрастной группе 25 - 29 лет (число родившихся на 1000 женщин соответствующего возраста)
3397;коэффициенты рождаемости в возрастной группе 30 - 34 лет (число родившихся на 1000 женщин соответствующего возраста)
3398;коэффициенты рождаемости в возрастной группе 35 - 39 лет (число родившихся на 1000 женщин соответствующего возраста)
3399;суммарный коэффициент рождаемости вторых детей (число детей на одну женщину)
3400;суммарный коэффициент рождаемости третьих и последующих детей (число детей на одну женщину)
3401;уровень занятости женщин, имеющих детей в возрасте до трех лет
3402;уровень занятости женщин, имеющих детей дошкольного возраста
3403;численность воспитанников в возрасте до трех лет, посещающих государственные и муниципальные организации, осуществляющие образовательную деятельность по образовательным программам дошкольного образования, присмотр и уход, в том числе в субъектах российской федерации, входящих в состав дальневосточного и северо-кавказского федеральных округов
3404;численность воспитанников в возрасте до трех лет, посещающих частные организации, осуществляющие образовательную деятельность по образовательным программам дошкольного образования, присмотр и уход, в том числе в субъектах российской федерации, входящих в состав дальневосточного и северо-кавказского федеральных округов
3405;численность женщин, находящихся в отпуске по уходу за ребенком в возрасте до трех лет, прошедших профессиональное обучение и дополнительное профессиональное образование (численность прошедших переобучение и повышение квалификации женщин, находящихся в отпуске по уходу за ребенком в возрасте до трех лет, а также женщин, имеющих детей дошкольного возраста, не состоящих в трудовых отношениях и обратившихся в органы службы занятости)
3406;доступность дошкольного образования для детей в возрасте 1,5 до 3 лет
3407;доля граждан пожилого возраста и инвалидов, проживающих в стационарных организациях социального обслуживания 'нового типа', в общем числе граждан, проживающих в стационарных организациях социального обслуживания
3408;ожидаемая продолжительность жизни граждан в возрасте 55 лет
3409;"численность граждан предпенсионного возраста, прошедших профессиональное обучение и дополнительное профессиональное образование (численность граждан, прошедших профессиональное обучение и дополнительное профессиональное образование в рамках федерального проекта ""старшее поколение"" национального проекта ""демография"" (нарастающим итогом с 2019 года)"
3410;смертность женщин в возрасте 16 - 54 лет (на 100 тыс. населения)
3411;смертность мужчин в возрасте 16 - 59 лет (на 100 тыс. населения)
3412;число случаев временной нетрудоспособности (на 100 работающих)
3413;темпы прироста первичной заболеваемости ожирением
3414;доля впервые в жизни установленных неинфекционных заболеваний, выявленных при проведении диспансеризации и профилактическом медицинском осмотре у взрослого населения, в общем числе неинфекционных заболеваний с впервые в жизни установленным диагнозом, выявленных у взрослого населения
3415;доля записей к врачу, совершенных гражданами без очного обращения в регистратуру медицинской организации
3416;доля лиц, госпитализированных по экстренным показаниям в течение первых суток, в общем числе больных, к которым совершены вылеты
3417;доля медицинских организаций, оказывающих в рамках обязательного медицинского страхования первичную медико-санитарную помощь, на базе которых функционируют каналы связи граждан со страховыми представителями страховых медицинских организаций (пост страхового представителя, телефон, терминал для связи со страховым представителем)
3418;доля обоснованных жалоб (в общем количестве поступивших жалоб), урегулированных в досудебном порядке страховыми медицинскими организациями
3419;количество медицинских организаций, участвующих в создании и тиражировании 'новой модели медицинской организации, оказывающей первичную медико-санитарную помощь'
3420;количество посещений при выездах мобильных медицинских бригад
3421;число граждан, прошедших профилактические осмотры
3422;число лиц (пациентов), дополнительно эвакуированных с использованием санитарной авиации, не менее (n1)
3423;больничная летальность от инфаркта миокарда
3424;больничная летальность от острого нарушения мозгового кровообращения
3425;доля профильных госпитализаций пациентов с острыми нарушениями мозгового кровообращения, доставленных автомобилями скорой медицинской помощи
3426;количество рентген-эндоваскулярных вмешательств в лечебных целях
3427;отношение числа рентген-эндоваскулярных вмешательств в лечебных целях, к общему числу выбывших больных, перенесших острый коронарный синдром
3428;смертность от инфаркта миокарда (на 100 тыс. населения)
3429;смертность от острого нарушения мозгового кровообращения (на 100 тыс. населения)
3430;одногодичная летальность больных со злокачественными новообразованиями (умерли в течение первого года с момента установления диагноза из числа больных, впервые взятых на учет в предыдущем году)
3431;удельных вес больных со злокачественными новообразованиями, состоящих на учете 5 лет и более
3432;" ""доля преждевременных родов (22 - 37 недель) в перинатальных центрах"" "
3433;доля взятых под диспансерное наблюдение детей в возрасте 0 - 17 лет с впервые в жизни установленными диагнозами болезней глаза и его придаточного аппарата
3434;доля взятых под диспансерное наблюдение детей в возрасте 0 - 17 лет с впервые в жизни установленными диагнозами болезней костно-мышечной системы и соединительной ткани
3435;доля взятых под диспансерное наблюдение детей в возрасте 0 - 17 лет с впервые в жизни установленными диагнозами болезней органов пищеварения
3436;доля взятых под диспансерное наблюдение детей в возрасте 0 - 17 лет с впервые в жизни установленными диагнозами болезней системы кровообращения
3437;доля взятых под диспансерное наблюдение детей в возрасте 0 - 17 лет с впервые в жизни установленными диагнозами болезней эндокринной системы, расстройств питания и нарушения обмена веществ
3438;смертность детей в возрасте 0 - 17 лет на 100 тыс. детей соответствующего возраста
3439;смертность детей в возрасте 0 - 4 года на 1000 родившихся живыми
3440;доля специалистов, допущенных к профессиональной деятельности через процедуру аккредитации, в общем количестве работающих специалистов
3441;обеспеченность врачами, работающими в государственных и муниципальных медицинских организациях (человек, на 10 тыс. населения)
3442;обеспеченность населения врачами, оказывающими медицинскую помощь в амбулаторных условиях (человек, на 10 тыс. населения)
3443;обеспеченность средними медицинскими работниками, работающими в государственных и муниципальных медицинских организациях (человек, на 10 тыс. населения)
3444;доля медицинских организаций государственной и муниципальной систем здравоохранения, использующих медицинские информационные системы для организации и оказания медицинской помощи гражданам, обеспечивающих информационное взаимодействие с единой государственной информационной системой в сфере здравоохранения
3445;доля медицинских организаций государственной и муниципальной систем здравоохранения, обеспечивающих доступ гражданам к электронным медицинским документам в личном кабинете пациента 'мое здоровье' на едином портале государственных и муниципальных услуг (функций)
3446;доля медицинских организаций государственной и муниципальной систем здравоохранения, обеспечивающих преемственность оказания медицинской помощи гражданам путем организации информационного взаимодействия с централизованными подсистемами государственных информационных систем в сфере здравоохранения субъектов российской федерации
3447;"число граждан, воспользовавшихся услугами (сервисами) в личном кабинете пациента ""мое здоровье"" на едином портале государственных услуг и функций (n7)"
3448;число иностранных граждан, которым оказаны медицинские услуги медицинскими организациями частной системы здравоохранения
3449;число иностранных граждан, которым оказаны медицинские услуги медицинскими организациями, подведомственными органам исполнительной власти субъектов российской федерации и органам местного самоуправления
3450;число иностранных граждан, которым оказаны медицинские услуги медицинскими организациями, подведомственными федеральным органам исполнительной власти
3451;количество пролеченных иностранных граждан
3452;доля субъектов российской федерации, в которых ликвидировано обучение в 3-ю смену
3453;"доля субъектов российской федерации, в которых обновлено содержание и методы обучения предметной области ""технология"" и других предметных областей"
3454;численность обучающихся, охваченных основными и дополнительными общеобразовательными программами цифрового, естественно-научного и гуманитарного профилей
3455;число общеобразовательных организаций, расположенных в сельской местности и малых городах, обновивших материально-техническую базу для реализации основных и дополнительных общеобразовательных программ цифрового, естественно-научного и гуманитарного профилей
3456;число созданных новых мест в общеобразовательных организациях, расположенных в сельской местности и поселках городского типа
3457;" ""число участников открытых онлайн-уроков, реализуемых с учетом опыта цикла открытых уроков ""проектория"", ""уроки настоящего"" или иных аналогичных по возможностям, функциям и результатам проектов, направленных на раннюю профессиональную ориентацию"" "
3458;"""число детей, охваченных деятельностью детских технопарков ""кванториум"" (мобильных технопарков ""кванториум"") и другими проектами, направленными на обеспечение доступности дополнительных общеобразовательных программ естественнонаучной и технической направленностей, соответствующих приоритетным направлениям технологического развития российской федерации"" "
3459;"число детей, получивших рекомендации по построению индивидуального учебного плана в соответствии с выбранными профессиональными компетенциями (профессиональными областями деятельности), в том числе по итогам участия в проекте ""билет в будущее"""
3460;"число региональных центров выявления, поддержки и развития способностей и талантов у детей и молодежи, создаваемых и реализующих программы с учетом опыта образовательного фонда ""талант и успех"", участниками которых стали не менее 5 процентов обучающихся по образовательным программам основного и среднего общего образования в соответствующих субъектах российской федерации"
3461;доля граждан, положительно оценивших качество услуг психолого-педагогической, методической и консультативной помощи, в общем числе обратившихся за получением услуги
3462;количество услуг психолого-педагогической, методической и консультативной помощи родителям (законным представителям) детей, а также гражданам, желающим принять на воспитание в свои семьи детей, оставшихся без попечения родителей, в том числе с привлечением некоммерческих организаций
3463;"""доля документов ведомственной и статистической отчетности, утвержденной нормативными правовыми актами, формирующаяся на основании однократно введенных первичных данных """
3464;"""доля образовательных организаций, реализующих общеобразовательные программы, дополнительные общеобразовательные программы для детей и образовательные программы среднего профессионального образования, осуществляющих образовательную деятельность с использованием федеральной информационно-сервисной платформы цифровой образовательной среды, в общем числе образовательных организаций """
3465;"доля обучающихся по общеобразовательным программам и образовательным программам среднего профессионального образования, использующих федеральную информационно-сервисную платформу цифровой образовательной среды для ""горизонтального"" обучения и неформального образования, в общем числе обучающихся по указанным программам"
3466;доля обучающихся по общеобразовательным программам, дополнительным общеобразовательным программам для детей и образовательным программам среднего профессионального образования, для которых формируется цифровой образовательный профиль и индивидуальный план обучения с использованием федеральной информационно-сервисной платформы цифровой образовательной среды, в общем числе обучающихся по указанным программам
3467;"доля педагогических работников общего образования, прошедших повышение квалификации в рамках периодической аттестации в цифровой форме с использованием информационного ресурса ""одного окна"" (""современная цифровая образовательная среда в российской федерации""), в общем числе педагогических работников общего образования"
3468;количество субъектов российской федерации, в которых внедрена целевая модель цифровой образовательной среды в образовательных организациях, реализующих общеобразовательные программы и образовательные программы среднего профессионального образования
3469;доля педагогических работников, прошедших добровольную независимую оценку квалификации
3470;доля субъектов российской федерации, обеспечивших деятельность центров непрерывного повышения профессионального мастерства педагогических работников и центров оценки профессионального мастерства и квалификаций педагогов
3471;доля учителей общеобразовательных организаций, вовлеченных в национальную систему профессионального роста педагогических работников
3472;доля обучающихся, завершающих обучение в организациях, осуществляющих образовательную деятельность по образовательным программам среднего профессионального образования, прошедших аттестацию с использованием механизма демонстрационного экзамена
3473;доля организаций, осуществляющих образовательную деятельность по образовательным программам среднего профессионального образования, итоговая аттестация в которых проводится в форме демонстрационного экзамена
3474;позиция российской федерации в международном соревновательном рейтинге стран, готовящих выпускников (молодых специалистов) по современным требованиям, в совокупном балльном исчислении
3475;число мастерских, оснащенных современной материально-технической базой по одной из компетенций
3476;число центров опережающей профессиональной подготовки
3477;доля участников профессиональных конкурсов, поступивших на обучение по образовательным программам, повысивших квалификацию и (или) получивших карьерный рост в течение года после завершения участия в конкурсе, в том числе по предложениям от работодателей
3478;число граждан, охваченных проведением профессиональных конкурсов в целях предоставления возможностей для профессионального и карьерного роста
3479;количество измененных нормативных правовых актов (доля от перечня)
3480;удовлетворенность пользователей отработкой заявок по снижению административно-правовых барьеров
3481;осведомленность предприятий целевой группы о возможностях повышения производительности труда
3482;доля работодателей - получателей услуг центров занятости населения, в которых реализованы проекты по модернизации, удовлетворенных полученными услугами (р2)
3483;доля соискателей - получателей услуг центров занятости населения, в которых реализованы проекты по модернизации, удовлетворенных полученными услугами (р2)
3484;количество центров занятости населения в субъектах российской федерации, в которых реализуются или реализованы пилотные проекты
3485;численность работников предприятий, прошедших переобучение, повысивших квалификацию в целях повышения производительности труда (нарастающим итогом начиная с 2019 года)
3486;выполненный объем разработок, оканчивающихся изготовлением, предварительными и приемочными испытаниями опытного образца (опытной партии)
3487;численность исследователей в возрасте  до 39 лет включительно, имеющих ученую степень  кандидата наук
3488;количество выдаваемых микрозаймов микрофинансовыми организациями субъектам малого и среднего предпринимательства
3489;объем кредитов, выданных субъектам малого и среднего предпринимательства на реализацию проектов в приоритетных отраслях по субсидируемой ставке, в том числе обеспеченных гарантийной поддержкой в рамках национальной гарантийной системы
3490;объем финансовой поддержки, оказанной субъектам малого и среднего предпринимательства в рамках национальной гарантийной системы, за вычетом объемов финансовой поддержки, полученной субъектами малого и среднего предпринимательства с одновременной поддержкой 2 или 3 участников национальной гарантийной системы, и за вычетом кредитов, выданных субъектам малого и среднего предпринимательства на реализацию проектов в приоритетных отраслях по субсидируемой ставке
3491;количество вновь созданных и действующих субъектов малого и среднего предпринимательства и самозанятых, совершивших значимые действия во всех информационных системах в рамках национального проекта и улучшивших показатели выручки и (или) численности занятых
3492;количество субъектов малого и среднего предпринимательства и самозанятых граждан, получивших поддержку в рамках федерального проекта
3493;количество субъектов малого и среднего предпринимательства, выведенных на экспорт при поддержке центров (агентств) координации поддержки экспортно ориентированных субъектов малого и среднего предпринимательства
3494;объем инвестиций в основной капитал субъектов малого и среднего предпринимательства, получивших доступ к производственным площадям и помещениям в рамках промышленных парков, технопарков
3495;количество вновь созданных субъектов малого и среднего предпринимательства участниками федерального проекта
3496;количество обученных основам ведения бизнеса, финансовой грамотности и иным навыкам предпринимательской деятельности
3497;количество подготовленных тренеров для обучения целевых групп по утвержденным методикам
3498;количество физических лиц - участников федерального проекта
3499;количество физических лиц - участников федерального проекта, занятых в сфере малого и среднего предпринимательства, по итогам участия в федеральном проекте
3500;"доля автомобильных дорог, работающих без перегрузки, в общей протяженности автомобильных дорог, относящихся к международному транспортному маршруту ""европа - западный китай"""
3501;доля центров экономического роста, связанных скоростными транспортными коммуникациями
3502;ежегодный прирост пропускной способности внутренних водных путей
3503;место российской федерации в рейтинге стран по индексу эффективности грузовой логистики (logistics performance index)
3504;объем экспорта услуг транспортного комплекса
3505;повышение уровня транспортной обеспеченности субъектов российской федерации к уровню 2017 года
3506;протяженность участков внутренних водных путей, ограничивающих их пропускную способность
3507;рост экспорта услуг от транзитных перевозок к уровню 2017 года
3508;средняя коммерческая скорость товародвижения на железнодорожном транспорте
3509;средняя скорость доставки транзитного контейнеропотока
3510;суммарная мощность введенных в эксплуатацию узловых грузовых мультимодальных транспортно-логистических центров
3511;суммарная наличная пропускная способность байкало-амурской и транссибирской железнодорожных магистралей
3512;"протяженность введенных в эксплуатацию автомобильных дорог 1 категории в составе международного транспортного маршрута ""европа - западный китай"" на участке обхода тольятти"
3513;протяженность построенных (реконструированных) автомобильных дорог федерального значения, обеспечивающих подъезд к морским портам российской федерации
3514;суммарная провозная способность участков железнодорожных подходов к морским портам северо-западного бассейна.
3515;количество введенных в эксплуатацию транспортно-логистических центров
3516;количество ликвидированных одноуровневых пересечений автомобильных дорог и железных дорог
3517;количество построенных автодорожных обходов городов
3518;количество построенных искусственных сооружений на автомобильных дорогах
3519;протяженность построенных и реконструированных участков автомобильных дорог на магистральных направлениях, связывающих центры экономического роста между собой и с другими административными центрами субъектов российской федерации и транспортными узлами, а также обеспечивающих устранение 'узких мест' и скоростное движение на подъезде к крымскому мосту
